Selected,Mass,SemiMajorAxis,StarMass,System,Planet,PlanetSolarMass,q,RE_Median,RE_upper,RE_lower,s_Median,s_upper,s_lower
True,301.0,1.4,1.08,Kepler-68,Kepler-68 d,0.000903,0.0008361111111111111,543734923034.52057,623565375363.8799,455567806337.14343,0.3851814673507678,0.3358695395524122,0.4597265491348167
True,534.0,1.42,1.34,HD 19994,HD 19994 A b,0.0016020000000000001,0.0011955223880597014,605658406005.7477,694580383352.1394,507450339724.03503,0.35073989735451444,0.3058372684370175,0.41861942051290985
True,23.3,1.43,1.06,HD 10180,HD 10180 g,6.99e-05,6.59433962264151e-05,538676813813.0806,617764641142.6969,451329874167.24536,0.39712966568042535,0.34628809862552684,0.4739871105897885
True,477.0,1.44,1.03,HD 331093,HD 331093 b,0.001431,0.0013893203883495145,530999316909.63306,608959944155.909,444897290431.5088,0.40568888121767016,0.35375154124958835,0.48420281138479926
True,454.0,1.44,0.95,HD 133131,HD 133131 A b,0.001362,0.0014336842105263157,509961221475.04736,584833062984.8506,427270541476.0492,0.4224252937925727,0.3683453149946078,0.5041782615300934
True,153.0,1.49,1.04,HD 210193,HD 210193 b,0.000459,0.0004413461538461538,533570757212.4513,611908919970.6388,447051769329.68964,0.41775227543217375,0.36427054853239416,0.49860086285708427
True,795.0,1.5,1.1,HD 23079,HD 23079 b,0.002385,0.002168181818181818,548746410753.54614,629312643174.4622,459766676724.02325,0.40892545146027637,0.3565737573977065,0.48806576273315894
True,533.0,1.5,1.08,mu Arae,mu Arae b,0.001599,0.0014805555555555555,543734923034.52057,623565375363.8799,455567806337.14343,0.4126944293043941,0.35986022094901315,0.49256415978730367
True,369.0,1.51,0.93,HD 48265,HD 48265 b,0.0011070000000000001,0.0011903225806451615,504564654549.6214,578644179140.956,422749032829.43274,0.4476975300246986,0.39038213417265544,0.5343414935044262
True,3083.0,1.52,1.1,HD 141937,HD 141937 b,0.009249,0.008408181818181818,548746410753.54614,629312643174.4622,459766676724.02325,0.41437779081308007,0.36132807416300927,0.4945733062362678
True,0.1074,1.524,1.0,Sun,Mars,3.222e-07,3.222e-07,523209173636.30145,600026062206.1102,438370326038.1284,0.4357467858412479,0.3799613551725355,0.5200778934905461
True,1526.0,1.55,1.16,HD 27969,HD 27969 b,0.0045780000000000005,0.0039465517241379314,563513525727.2273,646247846711.1687,472139290454.5215,0.4114830297649232,0.35880390791210987,0.49111831522542776
True,2371.0,1.58,1.44,HD 60532,HD 60532 c,0.007113,0.004939583333333334,627851008363.5618,720031274647.3323,526044391245.7541,0.3764653989660825,0.32826932478817045,0.4493236393892514
True,1589.0,1.6,1.043,KIC 7177553,KIC 7177553 A(ab) b,0.004767,0.004570469798657719,534339776238.30347,612790845367.0089,447696091214.8534,0.447947434664043,0.39060004537364307,0.5346397627805904
True,563.0,1.72,1.11,16 Cygni,16 Cygni B b,0.001689,0.0015216216216216215,551235069374.828,632166683409.1255,461851797066.28864,0.46678423816012876,0.40702531256103924,0.5571220974773947
True,477.0,1.76,1.07,HD 176051,HD 176051 b,0.001431,0.0013373831775700933,541211777526.6759,620671784922.942,453453791188.61633,0.4864856164228984,0.4242044694170943,0.580636330143461
True,1939.0,1.76,1.0,HD 70573,HD 70573 b,0.005817,0.005817,523209173636.30145,600026062206.1102,438370326038.1284,0.5032246345673204,0.4388005151598835,0.6006148901203158
True,1433.0,1.82,1.18,38 Vir,38 Vir b,0.004299,0.003643220338983051,568350640419.3402,651795140274.4221,476192062560.8059,0.47904863792305596,0.41771959214201876,0.5717600555780266
